Designator,Mid X,Mid Y,Rotation,Layer
Q3,187.1775,-128.72,90.0,top
R1,218.24,-103.33,180.0,top
R11,240.57,-155.91,0.0,top
R12,232.3,-131.6,270.0,top
R13,229.295,-126.91,180.0,top
R14,227.365,-126.91,0.0,top
R15,224.9,-103.33,0.0,top
R16,225.455,-126.91,180.0,top
R17,174.34,-126.105,90.0,top
R18,239.27,-153.72,90.0,top
R2,232.27,-153.74,270.0,top
R201,146.415,-121.8175,0.0,top
R202,154.785,-121.4575,180.0,top
R203,146.415,-123.6175,180.0,top
R204,154.795,-123.9775,0.0,top
R205,158.393451,-125.395,0.0,top
R206,154.835,-125.42,180.0,top
R207,154.33,-126.788451,270.0,top
R208,156.16,-122.408451,90.0,top
R209,145.95,-128.381549,90.0,top
R210,145.953451,-126.535,90.0,top
R211,164.276549,-124.22,270.0,top
R212,157.006549,-122.415,270.0,top
R213,161.56,-126.791549,270.0,top
R214,162.46,-126.798451,90.0,top
R215,156.18,-124.268451,270.0,top
R216,153.26,-126.791549,90.0,top
R217,161.585,-128.72,270.0,top
R218,154.3425,-128.6725,270.0,top
R219,153.260899,-128.646449,270.0,top
R22,170.74,-127.355,0.0,top
R220,148.193553,-129.733398,0.0,top
R221,145.84,-140.4275,90.0,top
R222,147.6925,-140.415,90.0,top
R223,145.79375,-131.54375,0.0,top
R224,151.2125,-140.39,90.0,top
R225,149.3425,-140.405,90.0,top
R226,152.16625,-134.12375,90.0,top
R227,144.84125,-133.49875,270.0,top
R228,152.385,-136.00125,90.0,top
R23,181.295,-159.1,90.0,top
R25,174.092499,-155.65,270.0,top
R26,180.165,-160.46,0.0,top
R27,175.442499,-156.0,0.0,top
R28,176.792499,-156.3,90.0,top
R29,211.8037,-124.4563,90.0,top
R31,214.065,-124.95,180.0,top
R32,165.96,-124.235,90.0,top
R33,165.13,-124.195,90.0,top
R34,213.365,-120.66,180.0,top
R35,210.405,-124.46,90.0,top
R36,196.415,-116.84,90.0,bottom
R39,193.765,-116.84,90.0,bottom
R40,179.465,-116.84,90.0,bottom
R43,176.865,-116.84,90.0,bottom
R44,236.45,-120.16,180.0,top
R45,241.65,-115.48,270.0,top
R46,234.15,-120.36,180.0,top
R47,233.735,-117.57,0.0,bottom
R48,180.465,-159.12,270.0,top
R5,233.67,-154.24,0.0,top
R55,226.35935,-138.375,90.0,top
R58,163.252499,-158.46,180.0,top
R59,162.752499,-159.85,90.0,top
R60,163.252499,-157.46,180.0,top
R61,162.752499,-155.96,90.0,top
R7,165.955,-122.39,90.0,top
R8,233.67,-153.24,180.0,top
R9,174.335,-124.22,90.0,top
TP1,225.975,-153.68,0.0,top
TP10,176.015,-155.95,180.0,bottom
TP2,231.21,-155.72,0.0,top
TP3,233.645,-155.72,0.0,top
TP5,180.065,-159.6,180.0,bottom
TP6,173.265,-157.15,180.0,bottom
TP7,170.805,-162.02,0.0,top
TP8,170.815,-156.14,0.0,top
TP9,179.665,-162.2,180.0,bottom
U1,215.88935,-149.2413,0.0,top
U10,224.605,-111.5549,270.0,top
U11,238.12,-146.89,180.0,top
U12,222.1,-103.54,90.0,top
U13,236.88,-116.905,180.0,top
U17,179.867499,-155.55,180.0,top
U2,226.175,-132.44,180.0,top
U201,150.595,-123.1675,0.0,top
U202,160.656549,-123.185,0.0,top
U203,157.9625,-127.6325,0.0,top
U204,149.553553,-127.538633,0.0,top
U205,177.3475,-135.31,180.0,top
U206,170.19,-124.185,270.0,top
U3,227.49,-122.7,180.0,top
U4,166.452499,-158.01,180.0,top
U6,148.535,-133.55,0.0,top
Y1,206.52,-125.39565,270.0,top
Y3,218.065,-123.25,180.0,top
